,categoria,titulo,href,fecha,title
0,Economía,"David Stern, el hombre que transformó la NBA en una multinacional",/economia/david-stern-el-hombre-que-transformo-la-nba-en-una-multinacional-nndc-noticia/,2020-01-01,"David Stern, the man who transformed the NBA into a multinational"
1,Internacional,Cómo un país con vinos desconocidos conquistó a Nueva York,/mundo/internacional/como-un-pais-con-vinos-desconocidos-conquisto-a-nueva-york-noticia/,2020-01-01,How a country with unknown wines conquered New York
2,Empresas,Hombre más rico de Asia reta a Amazon con nuevo portal en línea,/economia/empresas/hombre-mas-rico-de-asia-reta-a-amazon-con-nuevo-portal-en-linea-noticia/,2020-01-01,Asia's richest man challenges Amazon with new online portal
3,Empresas,Italia inicia el camino para suspender las concesiones a la familia Benetton,/economia/empresas/italia-inicia-el-camino-para-suspender-las-concesiones-a-la-familia-benetton-luigi-di-maio-noticia/,2020-01-01,Italy begins the path to suspend concessions to the Benetton family
4,Política,Elecciones 2020: JNE confirma dos candidaturas y declara infundadas otras seis,/peru/politica/elecciones-2020-jne-confirma-dos-candidaturas-y-declara-infundadas-otras-seis-nndc-noticia/,2020-01-01,Elections 2020: JNE confirms two candidacies and declares another six unfounded
5,Empresas,Airbus supera su meta con 863 entregas de aviones y desplaza a Boeing del primer lugar,/economia/empresas/airbus-supera-su-meta-con-863-entregas-de-aviones-y-desplaza-a-boeing-del-primer-lugar-airbus-noticia/,2020-01-01,Airbus exceeds its goal with 863 aircraft deliveries and displaces Boeing from first place
6,Economía,Cónyuges tienen derecho a bloquear el retiro de CTS de los trabajadores,/economia/conyuges-tienen-derecho-a-bloquear-el-retiro-de-cts-de-los-trabajadores-noticia/,2020-01-01,Spouses have the right to block the withdrawal of CTS from workers
7,Mundo,Banco central chino flexibiliza política de reservas bancarias para incentivar crecimiento,/mundo/banco-central-chino-flexibiliza-politica-de-reservas-bancarias-para-incentivar-crecimiento-nndc-noticia/,2020-01-01,Chinese central bank eases bank reserve policy to boost growth
8,Economía,Senasa podrá cerrar negocios ante irregularidades en venta de semillas y fertilizantes,/economia/senasa-podra-cerrar-negocios-ante-irregularidades-en-venta-de-semillas-y-fertilizantes-noticia/,2020-01-01,Senasa will be able to close businesses due to irregularities in the sale of seeds and fertilizers
9,Economía,"Cotización del dólar bajó en el 2019, ¿qué factores motivaron este resultado? ",/economia/cotizacion-del-dolar-bajo-en-el-2019-que-factores-motivaron-este-resultado-noticia/,2020-01-01,"The price of the dollar fell in 2019, what factors motivated this result?"
10,Política,Caso Keiko Fujimori: Los tuits de Giulliana Loza que Domingo Pérez cuestionó en la audiencia judicial,/peru/politica/keiko-fujimori-los-tuits-de-giulliana-loza-que-domingo-perez-cuestiono-en-la-audiencia-de-prision-preventiva-nndc-noticia/,2020-01-01,Keiko Fujimori case: Giulliana Loza's tweets that Domingo Pérez questioned at the court hearing
11,Economía,"Produce: nuevo fideicomiso de Fondemi permitirá otorgar préstamos hasta de S/ 100,000 a las mypes",/economia/produce-nuevo-fideicomiso-de-fondemi-permitira-otorgar-prestamos-hasta-de-s-100000-a-las-mypes-nndc-noticia/,2020-01-01,"Produce: new Fondemi trust will allow granting loans of up to S/ 100,000 to mypes"
12,Economía,La OMC cumple 25 años envuelta en una crisis de pronóstico reservado,/economia/la-omc-cumple-25-anos-envuelta-en-una-crisis-de-pronostico-reservado-nndc-noticia/,2020-01-01,The WTO turns 25 wrapped in a crisis of reserved prognosis
13,Política,Marianella Ledesma asumirá la presidencia del Tribunal Constitucional este viernes,/peru/politica/marianella-ledesma-asume-como-presidenta-del-tribunal-constitucional-este-viernes-nndc-noticia/,2020-01-01,Marianella Ledesma will assume the presidency of the Constitutional Court this Friday
14,Política,Elecciones 2020: JNE decide aceptar la candidatura de Virgilio Acuña ,/peru/politica/elecciones-2020-jne-decide-aceptar-la-candidatura-de-virgilio-acuna-noticia/,2020-01-01,Elections 2020: JNE decides to accept the candidacy of Virgilio Acuña
15,Mundo,Investigadores israelíes y alemanes predicen El Niño para fines del 2020,/mundo/investigadores-israelies-y-alemanes-predicen-el-nino-para-fines-del-2020-noticia/,2020-01-01,Israeli and German researchers predict El Niño by the end of 2020
16,Política,Caso Keiko Fujimori: este jueves continuará audiencia de prisión preventiva ,/peru/politica/caso-keiko-este-jueves-continuara-audiencia-de-prision-preventiva-nndc-noticia/,2020-01-01,Keiko Fujimori case: this Thursday the preventive detention hearing will continue
17,Política,Keiko Fujimori: juez rechaza pericia psiquiátrica para fiscal Pérez y abogada Giulliana Loza,/peru/politica/keiko-fujimori-juez-rechaza-pericia-psiquiatrica-para-fiscal-jose-domingo-perez-y-abogada-giulliana-loza-nndc-noticia/,2020-01-02,Keiko Fujimori: judge rejects psychiatric expertise for prosecutor Pérez and lawyer Giulliana Loza
18,Economía,Riesgo país de Perú bajó un punto básico y cerró en 0.85 puntos porcentuales,/economia/riesgo-pais-de-peru-bajo-un-punto-basico-y-cerro-en-085-puntos-porcentuales-noticia/,2020-01-02,Peru's country risk fell one basis point and closed at 0.85 percentage points
19,Empresas,Demandan a Johnson & Johnson por supuesto vínculo en la crisis de opioides,/economia/empresas/demandan-a-johnson-johnson-por-supuesto-vinculo-en-la-crisis-de-opioides-noticia/,2020-01-02,Johnson & Johnson sued over alleged link to opioid crisis
20,Internacional,Banco de México prevé recuperación modesta del crecimiento para el 2020,/mundo/internacional/banco-de-mexico-preve-recuperacion-modesta-del-crecimiento-para-el-2020-noticia/,2020-01-02,Banco de México forecasts modest growth recovery for 2020
21,Política,Elecciones 2020: Pacto Ético pide a servidores y autoridades respetar principio de neutralidad,/peru/politica/elecciones-2020-pacto-etico-electoral-pide-a-servidores-y-autoridades-del-estado-respetar-principio-de-neutralidad-nndc-noticia/,2020-01-02,Elections 2020: Ethical Pact asks servers and authorities to respect the principle of neutrality
22,Mundo,Partido Comunista de Chile llevará a Piñera ante la Corte Penal Internacional,/mundo/partido-comunista-de-chile-llevara-a-pinera-ante-la-corte-penal-internacional-nndc-noticia/,2020-01-02,Communist Party of Chile will take Piñera before the International Criminal Court
23,Política,Elecciones 2020: misión de observación de la UE define zonas de trabajo en Lima,/peru/politica/elecciones-2020-mision-de-observacion-de-la-union-europea-define-zonas-de-trabajo-en-lima-nndc-noticia/,2020-01-02,Elections 2020: EU observation mission defines work zones in Lima
24,Economía,Entrevista laboral: Las preguntas más difíciles y cómo podrías responderlas ,/economia/entrevista-laboral-estas-son-las-preguntas-mas-dificiles-y-como-podria-responderlas-fotos-noticia/,2020-01-02,Job Interview: The Toughest Questions and How You Might Answer Them
25,Política,José Luis Lecaros asegura que reclamos salariales de jueces cuentan con su respaldo,/peru/politica/jose-luis-lecaros-reclamos-salariales-de-jueces-cuentan-con-mi-respaldo-noticia/,2020-01-02,José Luis Lecaros assures that salary claims of judges have his support
26,Economía,Cinco recomendaciones para presentar la declaración jurada anual de renta,/economia/empresas-cinco-recomendaciones-para-presentar-la-declaracion-jurada-anual-de-renta-fotos-nndc-noticia/,2020-01-02,Five recommendations to present the annual income tax return
27,Política,"Fiscal Pérez: “Las organizaciones criminales cuentan con mecanismos legales, como la recusación a los jueces”",/peru/politica/fiscal-jose-domingo-perez-las-organizaciones-criminales-cuentan-con-mecanismos-legales-como-la-recusacion-a-los-jueces-nndc-fuerza-popular-giulliana-loza-noticia/,2020-01-02,"Prosecutor Pérez: ""Criminal organizations have legal mechanisms, such as challenging judges"""
28,Política,Jueces protestan frente al Palacio de Justicia durante ceremonia de inicio de Año Judicial 2020,/peru/politica/jueces-realizaron-planton-frente-a-palacio-de-justicia-durante-ceremonia-de-inicio-de-ano-judicial-2020-nndc-noticia/,2020-01-02,Judges protest in front of the Palace of Justice during the commencement ceremony of the Judicial Year 2020
29,Internacional,China suspende vínculo de bolsas con Reino Unido debido a tensiones políticas: fuentes,/mundo/internacional/china-suspende-vinculo-de-bolsas-con-reino-unido-debido-a-tensiones-politicas-fuentes-noticia/,2020-01-02,China suspends exchange link with UK due to political tensions: sources
30,Internacional,Argentina dice que FMI no debe pretender cobrar préstamo en términos pactados,/gestion-tv/hablemos-mas-simple/argentina-dice-que-fmi-no-debe-pretender-cobrar-prestamo-en-terminos-pactados-noticia/,2020-01-02,Argentina says that IMF should not try to collect loan on agreed terms
31,Economía,Banco de la Nación devuelve intereses y comisiones cobrados en exceso a usuarios ,/economia/banco-de-la-nacion-devuelve-intereses-y-comisiones-a-clientes-y-usuarios-nndc-noticia/,2020-01-02,Banco de la Nación returns interest and commissions charged in excess to users
32,Economía,MEF: Dan plazo hasta hoy para culminar registro de gastos para el cierre del presupuesto 2019,/economia/mef-deja-abierta-la-posibilidad-de-incorporar-mayores-gastos-para-el-cierre-del-presupuesto-2019-noticia/,2020-01-02,MEF: They give deadline until today to complete the record of expenses for the closing of the 2019 budget
33,Mercados,Tipo de cambio cerró a la baja ante menores tensiones comerciales entre Estados Unidos y China,/economia/mercados/tipo-de-cambio-cerro-a-la-baja-ante-menores-tensiones-comerciales-entre-estados-unidos-y-china-nndc-noticia/,2020-01-02,Exchange rate closed lower due to less trade tensions between the United States and China
34,Política,JNJ: Fiscal de la Nación votó en contra de la designación de Marco Falconí y cuestionó el puntaje que se le otorgó,/peru/politica/fiscal-de-la-nacion-voto-en-contra-de-la-designacion-de-marco-falconi-y-cuestiono-el-puntaje-que-se-le-otorgo-para-jnj-nndc-noticia/,2020-01-03,JNJ: Prosecutor of the Nation voted against the appointment of Marco Falconí and questioned the score given to him
